1,1,1,1,1,1,1,1,1,1
1.1,1.0166666666666666,0.75,0.7833333333333333,0.9833333333333333,0.95,1.0833333333333333,1.1666666666666667,1.1166666666666667,1.05
1.1666666666666667,1.1,0.5,0.6333333333333333,0.8333333333333334,0.95,1.15,1.3166666666666667,1.2833333333333334,1.0666666666666667
1.2833333333333334,1.25,0.36666666666666664,0.38333333333333336,0.7833333333333333,0.8333333333333334,1.1166666666666667,1.3666666666666667,1.4333333333333333,1.1833333333333333
1.3166666666666667,1.45,0.23333333333333334,0.23333333333333334,0.55,0.6333333333333333,1.2,1.4666666666666666,1.5833333333333333,1.3333333333333333
1.3,1.5166666666666666,0.11666666666666667,0.2,0.4166666666666667,0.5,1.2833333333333334,1.55,1.6666666666666667,1.45
1.3166666666666667,1.5833333333333333,0.06666666666666667,0.13333333333333333,0.35,0.4,1.3166666666666667,1.5333333333333334,1.8,1.5
1.4166666666666667,1.6166666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.36666666666666664,1.35,1.55,1.7833333333333334,1.5166666666666666
1.45,1.6666666666666667,0.06666666666666667,0.06666666666666667,0.21666666666666667,0.26666666666666666,1.35,1.55,1.7833333333333334,1.5833333333333333
1.4333333333333333,1.7166666666666666,0.05,0.05,0.16666666666666666,0.18333333333333332,1.4166666666666667,1.5666666666666667,1.8166666666666667,1.6
1.4833333333333334,1.7166666666666666,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.15,1.4333333333333333,1.5833333333333333,1.8,1.6333333333333333
1.4833333333333334,1.7166666666666666,0.016666666666666666,0.03333333333333333,0.1,0.13333333333333333,1.4333333333333333,1.6,1.8,1.6833333333333333
1.5,1.7333333333333334,0,0.016666666666666666,0.06666666666666667,0.13333333333333333,1.45,1.6,1.8166666666666667,1.6833333333333333
1.55,1.7333333333333334,0,0,0.03333333333333333,0.11666666666666667,1.45,1.6,1.8333333333333333,1.6833333333333333
1.5166666666666666,1.75,0,0,0.03333333333333333,0.08333333333333333,1.4833333333333334,1.6166666666666667,1.85,1.6666666666666667
1.5,1.75,0,0,0.016666666666666666,0.08333333333333333,1.5,1.6166666666666667,1.85,1.6833333333333333
1.5166666666666666,1.75,0,0,0,0.06666666666666667,1.5166666666666666,1.6166666666666667,1.8333333333333333,1.7
1.5,1.7666666666666666,0,0,0,0.06666666666666667,1.4833333333333334,1.6166666666666667,1.8333333333333333,1.7333333333333334
1.5166666666666666,1.75,0,0,0,0.06666666666666667,1.4666666666666666,1.6166666666666667,1.8333333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4666666666666666,1.6166666666666667,1.8333333333333333,1.75
1.5166666666666666,1.75,0,0,0,0.05,1.4666666666666666,1.6166666666666667,1.85,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.45,1.6166666666666667,1.85,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4333333333333333,1.6166666666666667,1.8666666666666667,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75
1.5333333333333334,1.75,0,0,0,0.05,1.4166666666666667,1.6166666666666667,1.8833333333333333,1.75

0.16666666666666666,0.21666666666666667,0,0,0,0,0.15,0.18333333333333332,0.2833333333333333,0.23333333333333334

0,0,0,0.1,0.05,0.4,0.43333333333333335,0.016666666666666666,0,0,0

695270

8151461432

474

4792
